"Match","Shots","Passes","Dribbles","Tackles.Attempted","Interceptions","Clearances","Blocks","Offsides","Fouls","Aerial.duels","Touches","Loss.of.possession","Errors","Saves","Claims","Punches","Shots...Results...Goals","Shots...Results...Shots.on.Target","Shots...Results...Shots.off.Target","Shots...Results...Woodworks","Shots...Results...Blocked","Shots...Results...Own","Shots...Zones...6.yard.box","Shots...Zones...Penalty.Area","Shots...Zones...Outside.of.box","Shots...Situation...Open.Play","Shots...Situation...Fastbreak","Shots...Situation...Set.Pieces","Shots...Situation...Penalty","Shots...Situation...Own.Goal","Shots...Body.Parts...Right.foot","Shots...Body.Parts...Left.foot","Shots...Body.Parts...Head","Shots...Body.Parts...Other.body.parts","Passes...Pass.Type...Cross","Passes...Pass.Type...Freekick","Passes...Pass.Type...Corner","Passes...Pass.Type...Through.Ball","Passes...Pass.Type...Throw.In","Passes...Pass.Type...Key.Passes","Passes...Length...Long","Passes...Length...Short","Passes...Height...Chipped","Passes...Height...Ground","Passes...Body.Parts...Head","Passes...Body.Parts...Feet","Passes...Direction...Forward","Passes...Direction...Backward","Passes...Direction...Left","Passes...Direction...Right","Passes...Target.Zone...Defensive.Third","Passes...Target.Zone...Mid.Third","Passes...Target.Zone...Final.Third","Dribbles...Outcome...Successful","Dribbles...Outcome...Unsuccessful","Tackles.Attempted...Outcome...Successful.Tackles","Tackles.Attempted...Outcome...Was.Dribbled","Clearances...Outcome...Total","Clearances...Outcome...Off.The.Line","Clearances...Body.Parts...Head","Clearances...Body.Parts...Feet","Blocks...Type...Blocked.Shots","Blocks...Type...Crosses","Loss.of.possession...Type...Dispossessed","Loss.of.possession...Type...Turnover","Errors...Type...Lead.to.Shot","Errors...Type...Lead.to.Goal","Average.Age","Market.Value","Ball.Posession","Spectators","Pass.rate","Tackle.rate","Distance.covered","Goals.scored","Result.GoalDiff","Result.W.L.D","TravelDistance"
"Slovakia vs Spain",5,345,11,23,12,20,16,1,14,7,503,16,2,6,1,0,0,0,2,0,1,2,0,1,2,3,0,0,0,2,2,1,0,0,0,7,0,1,20,3,52,323,47,328,11,364,242,130,187,185,129,202,44,2,9,16,7,20,0,14,6,4,12,5,11,1,1,30,86.1,66,11204,79,44,100.7,0,-5,-1,3577.55
"Spain vs Slovakia",19,666,11,14,8,1,9,0,7,9,830,33,0,0,0,0,3,9,6,1,4,0,3,11,5,11,0,7,1,0,7,8,4,0,20,10,7,1,19,12,34,675,61,648,28,681,419,285,346,361,99,404,206,7,4,12,2,1,0,0,1,1,8,13,20,0,0,27.6,364,34,11204,90,56,107.5,5,5,1,388.4
"Germany vs Hungary",18,721,22,15,9,4,14,2,8,16,911,17,0,2,0,1,2,7,6,1,5,0,1,16,1,12,0,6,0,0,7,3,8,0,28,5,6,4,30,13,57,729,58,728,26,760,476,308,381,403,88,415,283,9,13,12,3,4,0,1,3,1,13,5,12,0,0,28.4,493,25,12413,91,56,106.5,2,0,0,159.76
"Hungary vs Germany",9,236,8,27,8,26,17,0,10,10,406,28,2,4,0,1,2,4,4,1,1,0,0,4,5,6,0,3,0,0,7,0,2,0,7,8,1,2,18,6,45,219,30,234,17,247,184,79,119,143,85,121,58,3,5,18,9,26,0,16,10,5,12,8,20,1,1,27.7,58,75,12413,71,44,110.3,2,0,0,541.56
"Portugal vs France",10,541,17,26,2,7,5,0,9,3,668,15,0,3,0,0,2,5,5,0,0,0,0,6,4,7,0,1,2,0,5,2,3,0,9,13,0,2,9,7,47,516,39,524,10,553,315,247,289,273,168,278,117,9,8,22,4,7,0,5,2,1,4,7,8,0,0,29.8,368,52,54886,91,59,102.3,2,0,0,4.4
"France vs Portugal",11,592,14,23,8,9,6,2,15,7,728,25,0,3,1,0,2,5,5,0,1,0,0,5,6,10,0,0,1,0,7,4,0,0,6,7,1,7,16,9,38,580,29,589,9,609,355,259,315,302,137,356,125,4,10,14,9,9,0,4,5,0,6,13,12,0,0,28,604,48,54886,94,41,99.3,2,0,0,1280.4
"Wales vs Denmark",11,389,6,29,5,27,11,0,11,15,549,14,1,4,0,0,0,1,5,0,5,0,0,6,5,9,0,2,0,0,6,3,2,0,17,8,1,0,22,9,40,390,38,392,28,402,268,158,227,203,69,237,124,3,3,13,16,27,0,16,11,3,8,6,8,0,1,27.3,99.9,53,14645,82,38,101.5,0,-4,-1,3631.14
"Denmark vs Wales",16,431,23,12,4,18,13,1,8,23,604,15,0,1,0,0,4,8,5,1,3,0,4,5,7,10,1,5,0,0,10,4,2,0,24,9,9,1,18,11,55,420,62,413,34,441,280,193,243,232,98,215,162,16,7,9,3,18,0,10,8,5,8,7,8,0,0,27.8,173,47,14645,84,62,100.8,4,4,1,645.9
"Italy vs Austria",27,668,34,29,14,21,24,4,10,21,945,44,0,2,2,1,2,6,12,1,9,0,0,16,11,18,3,6,0,0,16,7,4,0,12,21,4,7,28,25,65,648,65,648,34,679,449,262,358,353,104,370,239,16,18,18,11,21,0,6,15,4,20,15,29,0,0,28.8,409,49,18910,87,50,149.4,2,1,1,1221.77
"Austria vs Italy",16,621,16,49,16,18,19,2,22,23,869,32,0,4,0,0,1,3,9,0,4,0,2,5,9,9,1,6,0,0,7,7,1,1,14,12,3,1,33,5,74,605,67,612,33,646,431,244,364,315,153,356,170,11,5,33,16,18,0,5,13,9,10,15,17,0,0,27.2,234.8,51,18910,81,50,145.3,1,-1,-1,951.53
